review_id,rating,snippet,description,iso_date_of_last_edit,date,user_name,likes,link
Ci9DQUlRQUNvZENodHljRjlvT2tkNWQwbGFPRTVwYkU5bVJrbGxVVVpwWmkwMGNXYxAB,5,Absolut totul este la superlativ !!!,,,2 months ago,Adrian Vasilache,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2tkNWQwbGFPRTVwYkU5bVJrbGxVVVpwWmkwMGNXYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT21GM01HRnZWMlpXYjBzNGVrbFpia05LUVV0MldrRRAB,5,,,,2 months ago,Cătălina Ungureanu,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21GM01HRnZWMlpXYjBzNGVrbFpia05LUVV0MldrRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2pSWlJWbDRYMkpDWkZKTFpqaEZSMUZqZDJoV1MxRRAB,5,Un restaurant excelent!,,,2 months ago,Florin Ghita,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pSWlJWbDRYMkpDWkZKTFpqaEZSMUZqZDJoV1MxRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2t0SVEyeHBOMHRZY2t0dmNHUlNVSGhsTVRNeVNtYxAB,5,,,,2 months ago,Leo Durey,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2t0SVEyeHBOMHRZY2t0dmNHUlNVSGhsTVRNeVNtYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2w4M2NYbHFNRVpRTkdGdFNXSkpjVkozUlRkaWVsRRAB,5,Un restaurant super 🙏,,,2 months ago,Iulian Badea,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2w4M2NYbHFNRVpRTkdGdFNXSkpjVkozUlRkaWVsRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT201RlluaExSMlZ2Y1RaT1FYUmtTRWxYWjE5alJtYxAB,5,,,,2 months ago,Alina Badea,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT201RlluaExSMlZ2Y1RaT1FYUmtTRWxYWjE5alJtYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT25ocFNtbE9ORzVyYlVReGVUVkdkbVJZVVV3ek1rRRAB,5,,,,2 months ago,Dragos Preda,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25ocFNtbE9ORzVyYlVReGVUVkdkbVJZVVV3ek1rRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT21oNFJ6bDBZVU5mVWpsT1gxRkxWMjF5WmpKeGNtYxAB,5,,,,2 months ago,Ion Enăchescu,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21oNFJ6bDBZVU5mVWpsT1gxRkxWMjF5WmpKeGNtYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2psUVIyOU5XazVSTWpkclYzRXlSRzEzWjB0Sk5YYxAB,5,Fortză,,,2 months ago,Andrei Motan,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2psUVIyOU5XazVSTWpkclYzRXlSRzEzWjB0Sk5YYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT21wblZHVm1jRGw1UkRaVGJVNDNNa1ZuWjBwcFpYYxAB,5,Mancarea buna! Multumim Andreea!,,,2 months ago,Andreea Petre,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21wblZHVm1jRGw1UkRaVGJVNDNNa1ZuWjBwcFpYYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT21wbWIyOUlORUoyU25CS2NVUnRXVzlpT0VoR1ZuYxAB,5,Cel mai bunchelner si cea mai calda atmosfera,,,2 months ago,tudor marian,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21wbWIyOUlORUoyU25CS2NVUnRXVzlpT0VoR1ZuYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2tWUFkyYzRVM1pYVTFOVlJsRnJSak0yUTBKMFQyYxAB,5,"Mâncare bună, mulțumim Andreea!😘",,,2 months ago,Cristina Mihaela,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2tWUFkyYzRVM1pYVTFOVlJsRnJSak0yUTBKMFQyYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT21GMGVEVjBjWFZIWDBoUGRrZHZPV1ZTWWxkelMyYxAB,5,,,,2 months ago,Alexandra Florescu,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21GMGVEVjBjWFZIWDBoUGRrZHZPV1ZTWWxkelMyYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2pKNFpFdHBhMUJPT1U5Q2QwbzRTbUl4UjB0MVNXYxAB,5,,,,2 months ago,Bogdan Mihai,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pKNFpFdHBhMUJPT1U5Q2QwbzRTbUl4UjB0MVNXYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT25OR1lqQkVURVZ3ZGpGWlMyY3hkVlp6TkZsQlpVRRAB,5,,,,2 months ago,Florina Ghita,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25OR1lqQkVURVZ3ZGpGWlMyY3hkVlp6TkZsQlpVRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2psQmVYcEtPRkJMVVhsMlNrZHphVGcyVGtoTGVuYxAB,5,,,,2 months ago,Ciprian Burac,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2psQmVYcEtPRkJMVVhsMlNrZHphVGcyVGtoTGVuYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2w5cmJFVkpUMDVtYlVNMWJsaEpNWGhHWlU5ZlFrRRAB,5,,,,2 months ago,Bogdan Spanu,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2w5cmJFVkpUMDVtYlVNMWJsaEpNWGhHWlU5ZlFrRRAB!2m1!1s
